title,price,rating,reviews,availability,image,link
"100 EarthPods - Premium Flower Fertilizer Spikes - Boost Blossoms (Great for Roses, Potted Annuals, Perennials, Flower Bulbs, Hanging Baskets) - Made in USA",,4.5 out of 5 stars,"1,853 ratings",In Stock,https://m.media-amazon.com/images/I/81vh-on2+NL._AC_SY300_SX300_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToxODY3Mjc4NjA3NzU3NzA3OjE3MzY2NjQwNzc6c3BfYXRmOjMwMDQ1MzU4NDI1NTUwMjo6MDo6&url=%2FEarthPods-Easy-Bloom-Flowering-Plant%2Fdp%2FB0797ZL5LK%2Fref%3Dsr_1_1_sspa%3Fcrid%3DXOX4HO870Z7Q%26dib%3DeyJ2IjoiMSJ9.S0fNMcz0e_Bdo2fI3rFNQrmxVOA9MRCkmVOeNYCzX3pBySsv9k9U96g6NYRE91OZaU_9Wh5lx5RlKlRsGiNTDwvMuE02eZ9nXDGgIfHITlz4I1jgpmjjTW3yWvAIkrYbGPTAwqkcRs758VPxDA-NWwu88GQN1bBBgjs2MAF0xu4ClIMJELLHcs_E9OxpmeiWmEFaOuYmzKM91en4Y3Bv1POjz3O9AZ5mo3ifO91k0KPHYSuu-KONpKcFikwqq1LX5Q1VIeQoAAzeWqYNG3zMK787iCD4k1PQzHQ4tBpd6Hc.j4PKkBN5xauETmrfoaTdZKHLx3GkaKAMj5fyUMxOJD4%26dib_tag%3Dse%26keywords%3Dfertilizer%26qid%3D1736664077%26sprefix%3Dfertilize%252Caps%252C372%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Miracle-Gro Indoor Plant Food, Liquid Plant Food for Houseplants, Snake Plants, Peace Lilies, Flowers, Vegetables, Herbs and More, 8 oz., 2-Pack",,4.6 out of 5 stars,"33,368 ratings",Not Available,https://m.media-amazon.com/images/I/71cTl+fiDmL._AC_SY300_SX300_.jpg,https://www.amazon.com/Miracle-Gro-VB300526-Liquid-Houseplants-Including-Edibles-Instantly/dp/B082BPQH6Z/ref=sr_1_2?crid=XOX4HO870Z7Q&dib=eyJ2IjoiMSJ9.S0fNMcz0e_Bdo2fI3rFNQrmxVOA9MRCkmVOeNYCzX3pBySsv9k9U96g6NYRE91OZaU_9Wh5lx5RlKlRsGiNTDwvMuE02eZ9nXDGgIfHITlz4I1jgpmjjTW3yWvAIkrYbGPTAwqkcRs758VPxDA-NWwu88GQN1bBBgjs2MAF0xu4ClIMJELLHcs_E9OxpmeiWmEFaOuYmzKM91en4Y3Bv1POjz3O9AZ5mo3ifO91k0KPHYSuu-KONpKcFikwqq1LX5Q1VIeQoAAzeWqYNG3zMK787iCD4k1PQzHQ4tBpd6Hc.j4PKkBN5xauETmrfoaTdZKHLx3GkaKAMj5fyUMxOJD4&dib_tag=se&keywords=fertilizer&qid=1736664077&sprefix=fertilize%2Caps%2C372&sr=8-2
"Burpee Natural Purpose Granular 4-Lb Organic Food for Growing Strong Plants | Good for Vegetable Garden, Flower Garden & Seed Starting, 4 lb, 4lb. Bag",,4.6 out of 5 stars,"18,305 ratings",Not Available,https://m.media-amazon.com/images/I/71nL-dLYxDL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com/Burpee-Natural-Organic-Purpose-Granular/dp/B01M7P2SBQ/ref=sr_1_3?crid=XOX4HO870Z7Q&dib=eyJ2IjoiMSJ9.S0fNMcz0e_Bdo2fI3rFNQrmxVOA9MRCkmVOeNYCzX3pBySsv9k9U96g6NYRE91OZaU_9Wh5lx5RlKlRsGiNTDwvMuE02eZ9nXDGgIfHITlz4I1jgpmjjTW3yWvAIkrYbGPTAwqkcRs758VPxDA-NWwu88GQN1bBBgjs2MAF0xu4ClIMJELLHcs_E9OxpmeiWmEFaOuYmzKM91en4Y3Bv1POjz3O9AZ5mo3ifO91k0KPHYSuu-KONpKcFikwqq1LX5Q1VIeQoAAzeWqYNG3zMK787iCD4k1PQzHQ4tBpd6Hc.j4PKkBN5xauETmrfoaTdZKHLx3GkaKAMj5fyUMxOJD4&dib_tag=se&keywords=fertilizer&qid=1736664077&sprefix=fertilize%2Caps%2C372&sr=8-3
"SUPERthrive The Original Vitamin Solution - Liquid Concentrate, May Add to Any Fertilizing Program, 4 fl. oz.",,4.7 out of 5 stars,"24,482 ratings",In Stock,https://m.media-amazon.com/images/I/71uKU70eMRL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com/SUPERthrive-VI30148-Plant-Vitamin-Solution/dp/B000OM82J0/ref=sr_1_4?crid=XOX4HO870Z7Q&dib=eyJ2IjoiMSJ9.S0fNMcz0e_Bdo2fI3rFNQrmxVOA9MRCkmVOeNYCzX3pBySsv9k9U96g6NYRE91OZaU_9Wh5lx5RlKlRsGiNTDwvMuE02eZ9nXDGgIfHITlz4I1jgpmjjTW3yWvAIkrYbGPTAwqkcRs758VPxDA-NWwu88GQN1bBBgjs2MAF0xu4ClIMJELLHcs_E9OxpmeiWmEFaOuYmzKM91en4Y3Bv1POjz3O9AZ5mo3ifO91k0KPHYSuu-KONpKcFikwqq1LX5Q1VIeQoAAzeWqYNG3zMK787iCD4k1PQzHQ4tBpd6Hc.j4PKkBN5xauETmrfoaTdZKHLx3GkaKAMj5fyUMxOJD4&dib_tag=se&keywords=fertilizer&qid=1736664077&sprefix=fertilize%2Caps%2C372&sr=8-4
"Down to Earth All Natural Fertilizers Organic Citrus Mix 6-3-3, 5 lb Box Fertilizer for Lemons, Limes, Oranges Citrus Trees",,4.6 out of 5 stars,"3,353 ratings",Not Available,https://m.media-amazon.com/images/I/51vBZRiCxUL._SX342_SY445_QL70_ML2_.jpg,https://www.amazon.com/Down-Earth-Organic-Citrus-Fertilizer/dp/B01LYJWO1J/ref=sr_1_5?crid=XOX4HO870Z7Q&dib=eyJ2IjoiMSJ9.S0fNMcz0e_Bdo2fI3rFNQrmxVOA9MRCkmVOeNYCzX3pBySsv9k9U96g6NYRE91OZaU_9Wh5lx5RlKlRsGiNTDwvMuE02eZ9nXDGgIfHITlz4I1jgpmjjTW3yWvAIkrYbGPTAwqkcRs758VPxDA-NWwu88GQN1bBBgjs2MAF0xu4ClIMJELLHcs_E9OxpmeiWmEFaOuYmzKM91en4Y3Bv1POjz3O9AZ5mo3ifO91k0KPHYSuu-KONpKcFikwqq1LX5Q1VIeQoAAzeWqYNG3zMK787iCD4k1PQzHQ4tBpd6Hc.j4PKkBN5xauETmrfoaTdZKHLx3GkaKAMj5fyUMxOJD4&dib_tag=se&keywords=fertilizer&qid=1736664077&sprefix=fertilize%2Caps%2C372&sr=8-5
Triple 10 All Purpose Liquid Fertilizer 10-10-10 with Amino Acids (5.5%) & Seaweed Extract (32oz),,4.6 out of 5 stars,"1,551 ratings",Not Available,https://m.media-amazon.com/images/I/71dqaG-zYGL.__AC_SX300_SY300_QL70_ML2_.jpg,https://www.amazon.com/Purpose-Fertilizer-10-10-10-Seaweed-Extract/dp/B07P5GNBR9/ref=sr_1_6?crid=XOX4HO870Z7Q&dib=eyJ2IjoiMSJ9.S0fNMcz0e_Bdo2fI3rFNQrmxVOA9MRCkmVOeNYCzX3pBySsv9k9U96g6NYRE91OZaU_9Wh5lx5RlKlRsGiNTDwvMuE02eZ9nXDGgIfHITlz4I1jgpmjjTW3yWvAIkrYbGPTAwqkcRs758VPxDA-NWwu88GQN1bBBgjs2MAF0xu4ClIMJELLHcs_E9OxpmeiWmEFaOuYmzKM91en4Y3Bv1POjz3O9AZ5mo3ifO91k0KPHYSuu-KONpKcFikwqq1LX5Q1VIeQoAAzeWqYNG3zMK787iCD4k1PQzHQ4tBpd6Hc.j4PKkBN5xauETmrfoaTdZKHLx3GkaKAMj5fyUMxOJD4&dib_tag=se&keywords=fertilizer&qid=1736664077&sprefix=fertilize%2Caps%2C372&sr=8-6
"Foliage-Pro 32 oz. 9-3-6 Plant Food,",,4.8 out of 5 stars,238 ratings,Not Available,https://m.media-amazon.com/images/I/41OHwpnQe6L._SX342_SY445_QL70_ML2_.jpg,https://www.amazon.com/Foliage-Pro-oz-9-3-6-Plant-Food/dp/B01DFH00HW/ref=sr_1_7?crid=XOX4HO870Z7Q&dib=eyJ2IjoiMSJ9.S0fNMcz0e_Bdo2fI3rFNQrmxVOA9MRCkmVOeNYCzX3pBySsv9k9U96g6NYRE91OZaU_9Wh5lx5RlKlRsGiNTDwvMuE02eZ9nXDGgIfHITlz4I1jgpmjjTW3yWvAIkrYbGPTAwqkcRs758VPxDA-NWwu88GQN1bBBgjs2MAF0xu4ClIMJELLHcs_E9OxpmeiWmEFaOuYmzKM91en4Y3Bv1POjz3O9AZ5mo3ifO91k0KPHYSuu-KONpKcFikwqq1LX5Q1VIeQoAAzeWqYNG3zMK787iCD4k1PQzHQ4tBpd6Hc.j4PKkBN5xauETmrfoaTdZKHLx3GkaKAMj5fyUMxOJD4&dib_tag=se&keywords=fertilizer&qid=1736664077&sprefix=fertilize%2Caps%2C372&sr=8-7
"8-4-8 Acidic Fertilizer for Azaleas, Camellias (Camelia), Hydrangeas, Blueberries, Gardenias, Magnolia Trees, Evergreens, and Rhododendrons - Ideal Iron-Rich Plant Food (1/2 Quart)",,4.5 out of 5 stars,927 ratings,In Stock,https://m.media-amazon.com/images/I/51rq1bOTLtL._SY445_SX342_QL70_ML2_.jpg,https://www.amazon.com/GARDENWISE-Fertilizer-Hydrangeas-Blueberries-Rhododendrons/dp/B0CQPP2GWH/ref=sr_1_8?crid=XOX4HO870Z7Q&dib=eyJ2IjoiMSJ9.S0fNMcz0e_Bdo2fI3rFNQrmxVOA9MRCkmVOeNYCzX3pBySsv9k9U96g6NYRE91OZaU_9Wh5lx5RlKlRsGiNTDwvMuE02eZ9nXDGgIfHITlz4I1jgpmjjTW3yWvAIkrYbGPTAwqkcRs758VPxDA-NWwu88GQN1bBBgjs2MAF0xu4ClIMJELLHcs_E9OxpmeiWmEFaOuYmzKM91en4Y3Bv1POjz3O9AZ5mo3ifO91k0KPHYSuu-KONpKcFikwqq1LX5Q1VIeQoAAzeWqYNG3zMK787iCD4k1PQzHQ4tBpd6Hc.j4PKkBN5xauETmrfoaTdZKHLx3GkaKAMj5fyUMxOJD4&dib_tag=se&keywords=fertilizer&qid=1736664077&sprefix=fertilize%2Caps%2C372&sr=8-8
"BGI PALMGAIN 50lb Bag, Palm Tree Fertilizer, Ferns, Cycads, Ixora",,4.6 out of 5 stars,62 ratings,In Stock,https://m.media-amazon.com/images/I/41+L4CkCjYL._SX342_SY445_.jpg,https://www.amazon.com/PALMGAIN-Fertilizer-Ferns-Cycads-Ixora/dp/B00LFRD0M2/ref=sr_1_9?crid=XOX4HO870Z7Q&dib=eyJ2IjoiMSJ9.S0fNMcz0e_Bdo2fI3rFNQrmxVOA9MRCkmVOeNYCzX3pBySsv9k9U96g6NYRE91OZaU_9Wh5lx5RlKlRsGiNTDwvMuE02eZ9nXDGgIfHITlz4I1jgpmjjTW3yWvAIkrYbGPTAwqkcRs758VPxDA-NWwu88GQN1bBBgjs2MAF0xu4ClIMJELLHcs_E9OxpmeiWmEFaOuYmzKM91en4Y3Bv1POjz3O9AZ5mo3ifO91k0KPHYSuu-KONpKcFikwqq1LX5Q1VIeQoAAzeWqYNG3zMK787iCD4k1PQzHQ4tBpd6Hc.j4PKkBN5xauETmrfoaTdZKHLx3GkaKAMj5fyUMxOJD4&dib_tag=se&keywords=fertilizer&qid=1736664077&sprefix=fertilize%2Caps%2C372&sr=8-9
"Dr. Earth Organic & Natural MINI Exotic Blend Palm, Tropical & Hibiscus Fertilizer ( 1 lbs )",,4.4 out of 5 stars,116 ratings,In Stock,https://m.media-amazon.com/images/I/9173wlf+s-L._AC_SY300_SX300_.jpg,https://www.amazon.com/Dr-Earth-Tropical-Hibiscus-Fertilizer/dp/B079ZN82W6/ref=sr_1_10?crid=XOX4HO870Z7Q&dib=eyJ2IjoiMSJ9.S0fNMcz0e_Bdo2fI3rFNQrmxVOA9MRCkmVOeNYCzX3pBySsv9k9U96g6NYRE91OZaU_9Wh5lx5RlKlRsGiNTDwvMuE02eZ9nXDGgIfHITlz4I1jgpmjjTW3yWvAIkrYbGPTAwqkcRs758VPxDA-NWwu88GQN1bBBgjs2MAF0xu4ClIMJELLHcs_E9OxpmeiWmEFaOuYmzKM91en4Y3Bv1POjz3O9AZ5mo3ifO91k0KPHYSuu-KONpKcFikwqq1LX5Q1VIeQoAAzeWqYNG3zMK787iCD4k1PQzHQ4tBpd6Hc.j4PKkBN5xauETmrfoaTdZKHLx3GkaKAMj5fyUMxOJD4&dib_tag=se&keywords=fertilizer&qid=1736664077&sprefix=fertilize%2Caps%2C372&sr=8-10
